election_year	lfd_nr	name	type	region	source_pdf	pdf_left	pdf_right	printed_left	printed_right	source_row	eligible_voters	number_voters	invalid_votes	valid_votes	cdu	spd	fdp	zentrum	uap	fsu	dkp	npd
1966	13	Viersen	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	30124	22969	413	22556	11876	9179	1501	0	0	0	0	0
1966	14	Wuppertal	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	306254	213948	1678	212270	73923	114377	22323	0	0	1647	0	0
1966	15	Kreis Dinslaken	kreis	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	85277	64920	579	64341	20129	39879	4333	0	0	0	0	0
1966	16	Kreis Düsseldorf-Mettmann	kreis	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	238757	181710	2005	179705	70165	93773	15767	0	0	0	0	0
1966	17	Kreis Geldern	kreis	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	53297	45767	740	45027	30551	12091	2385	0	0	0	0	0
1966	18	Kreis Grevenbroich	kreis	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	131700	101734	1452	100282	53276	39253	7135	618	0	0	0	0
1966	19	Kreis Kempen-Krefeld	kreis	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	147304	116800	1931	114869	60835	45340	8694	0	0	0	0	0
1966	20	Kreis Kleve	kreis	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	62724	53176	843	52333	32712	16187	3044	390	0	0	0	0
1966	21	Kreis Moers	kreis	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	222528	171708	1893	169815	61212	97971	10632	0	0	0	0	0
1966	22	Kreis Rees	kreis	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	69911	57007	650	56357	27477	23011	5869	0	0	0	0	0
1966	23	Rhein-Wupper-Kreis	kreis	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	143318	107848	1354	106494	44328	50585	11581	0	0	0	0	0
1966	24	Reg.-Bez. Düsseldorf	agg	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	3826570	2837856	28797	2809059	1133560	1451063	217285	1008	2063	4080	0	0
1966	25	Bonn	krfr	Köln	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	91537	60271	682	59589	30386	22563	6640	0	0	0	0	0
1966	26	Köln	krfr	Köln	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	587897	390616	3236	387380	157446	203660	25575	0	253	446	0	0
1966	27	Kreis Bergheim (Erft)	kreis	Köln	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	73725	59070	920	58150	26066	29157	2927	0	0	0	0	0
1966	28	Kreis Bonn	kreis	Köln	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	147129	108171	1784	106387	58018	38071	10298	0	0	0	0	0
1966	29	Kreis Euskirchen	kreis	Köln	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	74124	57386	1190	56196	29907	22051	4238	0	0	0	0	0
1966	30	Kreis Köln	kreis	Köln	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	150772	115474	1392	114082	51182	54387	8139	0	0	374	0	0
1966	31	Oberbergischer Kreis	kreis	Köln	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	97546	72865	922	71943	30240	31742	9961	0	0	0	0	0
1966	32	Rheinisch-Bergischer Kreis	kreis	Köln	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	159802	120889	1657	119232	59752	49920	9560	0	0	0	0	0
1966	33	Siegkreis	kreis	Köln	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	179473	132601	1896	130705	68688	51840	10177	0	0	0	0	0
1966	34	Reg.-Bez. Köln	agg	Köln	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	1562005	1117343	13679	1103664	511685	503391	87515	0	253	820	0	0
1966	35	Aachen	krfr	Aachen	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	118302	84507	901	83606	41087	36402	6117	0	0	0	0	0
1966	36	Kreis Aachen	kreis	Aachen	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	179856	145367	2286	143081	66443	68762	7876	0	0	0	0	0
1966	37	Kreis Düren	kreis	Aachen	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	102183	76774	1262	75512	40278	30948	4286	0	0	0	0	0
1966	38	Kreis Erkelenz	kreis	Aachen	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	58462	47746	968	46778	25851	17863	3064	0	0	0	0	0
1966	39	Kreis Jülich	kreis	Aachen	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	47745	41554	807	40747	21392	16682	2673	0	0	0	0	0
1966	40	Kreis Monschau	kreis	Aachen	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	19373	16649	354	16295	11381	3668	1246	0	0	0	0	0
1966	41	Kreis Schleiden	kreis	Aachen	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	42123	34474	774	33700	23113	7782	2805	0	0	0	0	0
1966	42	Selfkantkreis Geilenkirchen-Heinsberg	kreis	Aachen	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	82795	69827	1844	67983	42491	22350	3142	0	0	0	0	0
1966	43	Reg.-Bez. Aachen	agg	Aachen	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	650839	516898	9196	507702	272036	204457	31209	0	0	0	0	0
1966	44	Bocholt	krfr	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	30343	24523	205	24318	13259	10230	829	0	0	0	0	0
1966	45	Bottrop	krfr	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	75724	60249	494	59755	21740	36195	1820	0	0	0	0	0
1966	46	Gelsenkirchen	krfr	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	258972	194691	1271	193420	59238	124074	8109	726	0	1273	0	0
1966	47	Gladbeck	krfr	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	57335	45968	334	45634	16157	27507	1970	0	0	0	0	0
1966	48	Münster	krfr	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	124629	95948	878	95070	49939	36393	8738	0	0	0	0	0
1966	49	Recklinghausen	krfr	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	90170	71236	599	70637	25515	40692	4044	386	0	0	0	0
1966	50	Kreis Ahaus	kreis	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	68557	59432	700	58732	41119	14739	2874	0	0	0	0	0
1966	51	Kreis Beckum	kreis	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	105664	88192	951	87241	46958	35656	4319	308	0	0	0	0
1966	52	Kreis Borken	kreis	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	28	29	26	27	a	54518	47626	771	46855	33919	10537	2399	0	0	0	0	0
1966	53	Kreis Coesfeld	kreis	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	55777	48035	482	47553	31533	11876	1939	2205	0	0	0	0
1966	54	Kreis Lüdinghausen	kreis	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	87615	74459	772	73687	43624	27293	2770	0	0	0	0	0
1966	55	Kreis Münster	kreis	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	67108	55812	512	55300	33103	16813	2945	2439	0	0	0	0
1966	56	Kreis Recklinghausen	kreis	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	222271	183523	1950	181573	72807	98593	8420	1753	0	0	0	0
1966	57	Kreis Steinfurt	kreis	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	110936	93709	1041	92668	55810	30403	5412	1043	0	0	0	0
1966	58	Kreis Tecklenburg	kreis	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	84042	66114	1073	65041	30846	27401	5695	1099	0	0	0	0
1966	59	Kreis Warendorf	kreis	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	40574	35160	373	34787	22522	9215	1746	1304	0	0	0	0
1966	60	Reg.-Bez. Münster	agg	Münster	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	1534235	1244677	12406	1232271	598089	557617	64029	11263	0	1273	0	0
1966	61	Bielefeld	krfr	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	126516	98677	1438	97239	33303	52683	11253	0	0	0	0	0
1966	62	Herford	krfr	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	40576	30832	416	30416	12352	15395	2669	0	0	0	0	0
1966	63	Kreis Bielefeld	kreis	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	98718	81199	1296	79903	28328	44223	7352	0	0	0	0	0
1966	64	Kreis Büren	kreis	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	37961	32024	485	31539	20952	8116	1358	1113	0	0	0	0
1966	65	Kreis Detmold	kreis	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	102324	80479	1401	79078	25099	41718	12261	0	0	0	0	0
1966	66	Kreis Halle (Westf.)	kreis	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	43665	34226	548	33678	13633	16095	3950	0	0	0	0	0
1966	67	Kreis Herford	kreis	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	121869	98418	2047	96371	31992	55477	8902	0	0	0	0	0
1966	68	Kreis Höxter	kreis	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	65340	52185	689	51496	31786	15377	4333	0	0	0	0	0
1966	69	Kreis Lemgo	kreis	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	102007	82071	1298	80773	24992	44571	11210	0	0	0	0	0
1966	70	Kreis Lübbecke	kreis	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	61200	46857	591	46266	21335	20538	4393	0	0	0	0	0
1966	71	Kreis Minden	kreis	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	139787	106980	1699	105281	35169	56435	13677	0	0	0	0	0
1966	72	Kreis Paderborn	kreis	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	88991	70795	791	70004	45163	20088	4753	0	0	0	0	0
1966	73	Kreis Warburg	kreis	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	29727	24212	401	23811	15133	6156	2108	414	0	0	0	0
1966	74	Kreis Wiedenbrück	kreis	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	106559	87270	784	86486	49137	30097	7252	0	0	0	0	0
1966	75	Reg.-Bez. Detmold	agg	Detmold	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	1165240	926225	13884	912341	388374	426969	95471	1527	0	0	0	0
1966	76	Bochum	krfr	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	252076	198022	1683	196339	61705	123919	10401	0	314	0	0	0
1966	77	Castrop-Rauxel	krfr	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	58548	46461	402	46059	15808	28604	1647	0	0	0	0	0
1966	78	Dortmund	krfr	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	30	31	28	29	a	464329	356557	3021	353536	114689	217024	19410	0	0	2413	0	0
1966	79	Hagen	krfr	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	142738	104335	1047	103288	35492	57747	10049	0	0	0	0	0
1966	80	Hamm	krfr	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	51426	39124	433	38691	17541	18331	2819	0	0	0	0	0
1966	81	Herne	krfr	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	78042	61397	551	60846	19726	38289	2831	0	0	0	0	0
1966	82	Iserlohn	krfr	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	40464	29944	249	29695	10682	15191	3615	0	0	207	0	0
1966	83	Lüdenscheid	krfr	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	42706	30743	421	30322	10979	15380	3963	0	0	0	0	0
1966	84	Lünen	krfr	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	50563	40457	377	40080	13992	23922	1875	0	0	291	0	0
1966	85	Siegen	krfr	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	33407	23721	296	23425	9443	11580	2402	0	0	0	0	0
1966	86	Wanne-Eickel	krfr	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	72734	56076	505	55571	17118	36329	2124	0	0	0	0	0
1966	87	Wattenscheid	krfr	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	58087	46210	382	45828	14408	29410	2010	0	0	0	0	0
1966	88	Witten	krfr	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	70902	57075	584	56491	16483	35840	4168	0	0	0	0	0
1966	89	Kreis Altena	kreis	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	119258	90149	1124	89025	31512	46735	10778	0	0	0	0	0
1966	90	Kreis Arnsberg	kreis	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	91064	76016	812	75204	40836	29588	3932	848	0	0	0	0
1966	91	Kreis Brilon	kreis	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	49052	41245	743	40502	24430	13492	1875	705	0	0	0	0
1966	92	Ennepe-Ruhr-Kreis	kreis	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	186847	148759	1809	146950	46733	85953	13719	0	545	0	0	0
1966	93	Kreis Iserlohn	kreis	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	134645	106596	1157	105439	45326	52144	7469	0	0	500	0	0
1966	94	Kreis Lippstadt	kreis	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	64560	53205	479	52726	27868	21120	2908	830	0	0	0	0
1966	95	Kreis Meschede	kreis	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	51633	43538	548	42990	28100	12451	2439	0	0	0	0	0
1966	96	Kreis Olpe	kreis	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	64457	54545	665	53880	35146	16697	2037	0	0	0	0	0
1966	97	Kreis Siegen	kreis	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	117730	87671	1043	86628	32838	45701	8089	0	0	0	0	0
1966	98	Kreis Soest	kreis	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	70777	55705	766	54939	27544	20469	6926	0	0	0	0	0
1966	99	Kreis Unna	kreis	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	157872	129754	1846	127908	43292	75898	8718	0	0	0	0	0
1966	100	Kreis Wittgenstein	kreis	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	29235	21342	248	21094	7749	11293	2052	0	0	0	0	0
1966	101	Reg.-Bez. Arnsberg	agg	Arnsberg	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	2553152	1998647	21191	1977456	749440	1083107	138256	2383	859	3411	0	0
1966	102	Nordrhein-Westfalen	agg	Nordrhein-Westfalen	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	11292041	8641646	99153	8542493	3653184	4226604	633765	16181	3175	9584	0	0
1966	103	darunter Landkreise	agg	Nordrhein-Westfalen	Nordrhein-Westfalen_1966_Landtagswahl.pdf	32	33	30	31	a	5602264	4456820	61398	4395422	2101821	1936271	340842	15069	545	874	0	0
1970	1	Düsseldorf	krfr	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	477614	335687	1575	334112	147112	153772	23698	955	0	0	4445	4130
1970	2	Duisburg	krfr	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	330602	227140	1034	226106	79006	131647	10812	0	250	0	2746	1645
1970	3	Essen	krfr	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	524735	367779	1540	366239	140474	197937	19582	0	323	0	4889	3034
1970	4	Krefeld	krfr	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	163126	113557	540	113017	54979	49546	6546	0	0	0	688	1258
1970	5	Leverkusen	krfr	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	73399	52991	279	52712	20538	27209	3846	0	0	0	431	688
1970	6	Mönchengladbach	krfr	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	107480	69943	400	69543	42547	22962	2727	0	0	0	493	814
1970	7	Mülheim a.d. Ruhr	krfr	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	142227	102963	514	102449	34774	57411	8175	0	0	0	1131	958
1970	8	Neuss	krfr	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	75131	53570	306	53264	30164	19079	2760	128	0	0	433	700
1970	9	Oberhausen	krfr	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	177949	123848	539	123309	48317	67702	4923	0	0	0	1276	1091
1970	10	Remscheid	krfr	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	94066	62900	293	62607	26022	30017	4565	0	0	0	1305	698
1970	11	Rheydt	krfr	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	71285	46497	374	46123	24738	17201	3251	0	0	0	417	516
1970	12	Solingen	krfr	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	127170	88415	481	87934	36040	41323	7707	0	0	0	2027	837
1970	13	Wuppertal	krfr	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	305149	207334	787	206547	86099	100816	14530	0	0	0	2879	2223
1970	14	Kreis Dinslaken	kreis	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	94753	67706	408	67298	22666	39143	4031	0	0	0	595	863
1970	15	Kreis Düsseldorf-Mettmann	kreis	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	266033	197797	1289	196508	86907	91774	13412	0	2	0	1940	2473
1970	16	Kreis Geldern	kreis	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	57262	45712	509	45203	32249	11100	1406	0	0	0	84	364
1970	17	Kreis Grevenbroich	kreis	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	172914	122214	899	121315	67286	44563	6694	932	0	0	654	1186
1970	18	Kreis Kempen-Krefeld	kreis	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	176435	125290	1194	124096	73697	43330	5087	0	0	0	678	1304
1970	19	Kreis Kleve	kreis	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	68103	52677	622	52055	34293	14688	2167	195	0	0	133	579
1970	20	Kreis Moers	kreis	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	239809	176216	1184	175032	67641	95361	8277	0	190	0	1204	2359
1970	21	Kreis Rees	kreis	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	77237	59551	826	58725	29803	23966	4266	0	0	0	173	517
1970	22	Rhein-Wupper-Kreis	kreis	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	163021	119463	936	118527	54789	52488	8834	0	0	0	1060	1356
1970	23	Reg.-Bez. Düsseldorf	agg	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	3985500	2819250	16529	2802721	1240141	1333035	167296	2210	765	0	29681	29593
1970	24	davon Krfr. Städte (D)	agg	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	2669933	1852624	8662	1843962	770810	916622	113122	1083	573	0	23160	18592
1970	25	davon Kreise (D)	agg	Düsseldorf	Nordrhein-Westfalen_1970_Landtagswahl.pdf	26	27	24	25	a	1315567	966626	7867	958759	469331	416413	54174	1127	192	0	6521	11001
1970	26	Bonn	krfr	Köln	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	199144	143095	778	142317	78632	48735	13324	0	0	0	802	824
1970	27	Köln	krfr	Köln	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	593955	381891	1691	380200	151674	190606	30502	105	0	0	3552	3761
1970	28	Kreis Bergheim (Erft)	kreis	Köln	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	82564	64444	707	63737	27732	32812	2282	0	0	0	300	611
1970	29	Kreis Euskirchen	kreis	Köln	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	84857	61790	786	61004	33543	22852	3441	216	0	0	251	701
1970	30	Kreis Köln	kreis	Köln	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	171797	129284	1103	128181	57219	59652	9386	0	0	0	832	1092
1970	31	Oberbergischer Kreis	kreis	Köln	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	104175	74620	583	74037	35289	32191	5216	0	0	0	407	934
1970	32	Rheinisch-Bergischer Kreis	kreis	Köln	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	180386	132916	1058	131858	64942	55031	9707	0	0	0	729	1449
1970	33	Rhein-Sieg-Kreis	kreis	Köln	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	261507	190085	1672	188413	104581	70569	10489	1	0	0	786	1987
1970	34	Reg.-Bez. Köln	agg	Köln	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	1678385	1178125	8378	1169747	553612	512448	84347	322	0	0	7659	11359
1970	35	davon Krfr. Städte (K)	agg	Köln	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	793099	524986	2469	522517	230306	239341	43826	105	0	0	4354	4585
1970	36	davon Kreise (K)	agg	Köln	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	885286	653139	5909	647230	323306	273107	40521	217	0	0	3305	6774
1970	37	Aachen	krfr	Aachen	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	121198	83009	404	82605	43602	32731	4597	102	0	0	644	929
1970	38	Kreis Aachen	kreis	Aachen	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	192978	152039	1722	150317	75584	66425	5202	268	0	0	1337	1501
1970	39	Kreis Düren	kreis	Aachen	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	109676	81231	892	80339	45803	30812	2798	0	0	0	506	420
1970	40	Kreis Erkelenz	kreis	Aachen	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	64045	49674	698	48976	30106	16264	1768	0	0	0	206	632
1970	41	Kreis Jülich	kreis	Aachen	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	52091	43933	593	43340	24934	16528	1661	0	0	0	217	0
1970	42	Kreis Monschau	kreis	Aachen	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	21547	17873	277	17596	12748	3629	959	102	0	0	43	115
1970	43	Kreis Schleiden	kreis	Aachen	Nordrhein-Westfalen_1970_Landtagswahl.pdf	28	29	26	27	a	44691	35527	476	35051	24410	7558	2469	167	0	0	78	369
