ags	name_reference	source_page_left	source_row	eligible_voters	without_certificate	with_certificate	number_voters	invalid_votes	valid_votes	cdu	spd	fdp	ssw	dkp	dgl	gruene	fp	fsu	einzelbewerber_llsh
01051051	HOCHDONN	20	22	868	802	66	647	3	644	333	285	5	0	0	0	21	0	0	0
01051052	HOEVEDE	20	23	50	48	2	47	0	47	42	4	0	0	0	0	1	0	0	0
01051053	HOLLINGSTEDT	20	24	245	232	13	202	1	201	129	62	5	0	0	0	5	0	0	0
01051054	IMMENSTEDT	20	25	84	81	3	72	0	72	47	22	1	0	0	0	2	0	0	0
01051057	KAISER-WILHELM-KOOG	22	1	317	301	16	253	1	252	129	118	2	0	0	0	3	0	0	0
01051058	KAROLINENKOOG	22	2	135	126	9	107	0	107	56	49	1	0	0	0	1	0	0	0
01051060	KLEVE	22	3	348	330	18	289	0	289	170	107	1	0	0	0	11	0	0	0
01051061	KREMPEL	22	4	441	396	45	341	1	340	123	211	3	0	0	0	3	0	0	0
01051062	KRONPRINZENKOOG	22	5	803	733	70	637	3	634	327	279	11	0	3	0	14	0	0	0
01051063	KRUMSTEDT	22	6	386	364	22	297	1	296	179	100	9	0	0	0	8	0	0	0
01051064	KUDEN	22	7	445	423	22	355	0	355	212	115	12	0	1	0	15	0	0	0
01051065	LEHE	22	8	820	766	54	644	1	643	322	289	14	0	0	0	18	0	0	0
01051067	LIETH	22	9	227	211	16	190	1	189	111	63	5	0	0	0	10	0	0	0
01051068	LINDEN	22	10	540	494	46	437	2	435	249	151	15	3	0	0	17	0	0	0
01051069	LOHE-RICKELSHOF	22	11	1350	1223	127	1107	7	1100	543	512	23	0	1	0	21	0	0	0
01051071	LUNDEN	22	12	1516	1346	170	1086	4	1082	475	561	18	5	2	0	21	0	0	0
01051072	MARNE, STADT	22	13	4580	4102	478	3484	17	3467	1767	1545	68	0	1	0	86	0	0	0
01051073	MARNERDEICH	22	14	235	227	8	201	0	201	94	100	3	0	0	0	4	0	0	0
01051074	MELDORF, STADT	22	15	5815	5252	563	4531	21	4510	2267	2051	102	0	2	0	88	0	0	0
01051075	NEUENKIRCHEN	22	16	759	712	47	584	2	582	331	232	12	0	0	0	7	0	0	0
01051076	NEUFELD	22	17	535	512	23	414	0	414	201	195	6	0	2	0	10	0	0	0
01051077	NEUFELDERKOOG	22	18	110	106	4	87	0	87	66	18	0	0	0	0	3	0	0	0
01051078	NINDORF	22	19	750	703	47	606	2	604	312	263	15	0	1	0	13	0	0	0
01051079	NORDDEICH	22	20	318	304	14	248	0	248	120	118	5	0	1	0	4	0	0	0
01051080	NORDERHEISTEDT	22	21	83	78	5	64	0	64	41	13	7	0	1	0	2	0	0	0
01051081	NORDERWOEHRDEN	22	22	260	233	27	186	0	186	107	67	6	0	0	0	6	0	0	0
01051082	NORDHASTEDT	22	23	1709	1578	131	1384	2	1382	790	525	28	0	1	0	38	0	0	0
01051083	ODDERADE	22	24	255	243	12	220	0	220	134	76	1	0	1	0	8	0	0	0
01051084	OESTERDEICHSTRICH	22	25	174	159	15	135	0	135	86	43	3	0	0	0	3	0	0	0
01051085	OFFENBUETTEL	24	1	242	234	8	222	0	222	169	50	1	0	0	0	2	0	0	0
01051086	OSTERRADE	24	2	380	360	20	315	0	315	226	73	6	0	0	0	10	0	0	0
01051087	OSTROHE	24	3	628	571	57	510	1	509	260	223	9	0	1	0	16	0	0	0
01051088	PAHLEN	24	4	770	725	45	619	6	613	348	239	12	1	1	0	12	0	0	0
01051089	QUICKBORN	24	5	141	133	8	109	2	107	69	31	4	0	0	0	3	0	0	0
01051090	RAMHUSEN	24	6	136	123	13	109	0	109	62	45	0	0	0	0	2	0	0	0
01051092	REHM-FLEHDE-BARGEN	24	7	439	420	19	374	2	372	172	186	7	0	0	0	7	0	0	0
01051093	REINSBUETTEL	24	8	292	280	12	243	2	241	111	124	3	0	0	0	3	0	0	0
01051096	SANKT ANNEN	24	9	266	252	14	223	1	222	138	66	8	0	0	0	10	0	0	0
01051097	SANKT MICHAELISDONN	24	10	2708	2525	183	2087	19	2068	1139	808	69	0	5	0	47	0	0	0
01051098	SARZBUETTEL	24	11	494	450	44	402	0	402	224	163	2	0	0	0	13	0	0	0
01051099	SCHAFSTEDT	24	12	916	863	53	768	4	764	483	233	27	0	0	0	21	0	0	0
01051100	SCHALKHOLZ	24	13	407	384	23	325	1	324	231	88	1	0	0	0	4	0	0	0
01051102	SCHLICHTING	24	14	212	199	13	184	0	184	138	40	0	0	0	0	6	0	0	0
01051103	SCHMEDESWURTH	24	15	178	168	10	144	1	143	78	56	2	0	2	0	5	0	0	0
01051104	SCHRUM	24	16	62	56	6	51	0	51	39	7	1	0	0	0	4	0	0	0
01051105	SCHUELP	24	17	380	353	27	294	0	294	190	85	12	0	0	0	7	0	0	0
01051107	STELLE-WITTENWURTH	24	18	309	286	23	222	0	222	151	68	1	0	0	0	2	0	0	0
01051108	STRUEBBEL	24	19	99	90	9	85	0	85	62	16	2	0	0	0	5	0	0	0
01051109	SUEDERDEICH	24	20	302	280	22	232	2	230	122	93	6	0	0	0	9	0	0	0
01051110	SUEDERHASTEDT	24	21	606	566	40	491	1	490	323	135	13	0	1	0	18	0	0	0
01051111	SUEDERHEISTEDT	24	22	321	299	22	268	1	267	153	98	10	0	0	0	6	0	0	0
01051113	WOEHRDEN	24	23	928	864	64	745	2	743	399	324	10	0	0	0	10	0	0	0
01051114	TELLINGSTEDT	24	24	1800	1635	165	1440	2	1438	925	438	37	2	1	0	35	0	0	0
01051117	TIELENHEMME	24	25	128	118	10	109	0	109	85	20	0	1	1	0	2	0	0	0
01051118	TRENNEWURTH	26	1	250	226	24	182	0	182	89	91	0	0	0	0	2	0	0	0
01051119	VOLSEMENHUSEN	26	2	326	295	31	236	0	236	164	56	6	0	0	0	10	0	0	0
01051120	WALLEN	26	3	28	27	1	22	0	22	20	0	2	0	0	0	0	0	0	0
01051121	WARWERORT	26	4	121	101	20	84	0	84	46	34	1	0	0	0	3	0	0	0
01051122	WEDDINGSTEDT	26	5	1460	1397	63	1168	7	1161	648	479	9	0	1	0	24	0	0	0
01051125	WELMBUETTEL	26	6	299	282	17	251	0	251	169	67	3	3	0	0	9	0	0	0
01051126	WENNBUETTEL	26	7	80	75	5	67	1	66	56	9	0	0	0	0	1	0	0	0
01051127	WESSELBUREN, STADT	26	8	2668	2425	243	1990	12	1978	1035	863	33	0	4	0	43	0	0	0
01051128	WESSELBURENER DEICHHAUSEN	26	9	116	114	2	85	0	85	58	23	3	0	0	0	1	0	0	0
01051129	WESSELBURENERKOOG	26	10	198	183	15	154	0	154	82	70	1	0	0	0	1	0	0	0
01051130	WESSELN	26	11	877	828	49	751	2	749	386	342	10	0	0	0	11	0	0	0
01051131	WESTERBORSTEL	26	12	79	77	2	68	0	68	51	14	1	0	0	0	2	0	0	0
01051132	WESTERDEICHSTRICH	26	13	601	545	56	457	3	454	196	240	6	0	0	0	12	0	0	0
01051133	WIEMERSTEDT	26	14	124	114	10	103	0	103	79	19	1	0	0	0	4	0	0	0
01051134	WINDBERGEN	26	15	572	553	19	470	1	469	331	123	4	0	1	0	10	0	0	0
01051135	WOLMERSDORF	26	16	272	257	15	218	0	218	146	65	3	0	0	0	4	0	0	0
01051136	WROHM	26	17	540	502	38	462	3	459	344	96	14	0	0	0	5	0	0	0
01051137	NORDERMELDORF	26	18	478	460	18	420	5	415	257	141	7	0	0	0	10	0	0	0
01051138	TENSBUETTEL-ROEST	26	19	419	404	15	354	0	354	257	90	0	0	0	0	7	0	0	0
01051139	SUEDERDORF	26	20	281	264	17	234	0	234	205	23	3	0	0	0	3	0	0	0
01051140	OESTERWURTH	26	21	236	222	14	192	2	190	122	60	4	0	0	0	4	0	0	0
01053001	ALBSFELDE	28	1	52	49	3	42	0	42	26	10	2	0	0	0	4	0	0	0
01053002	ALT MOELLN	28	2	458	400	58	362	0	362	217	129	7	0	0	0	9	0	0	0
01053003	AUMUEHLE	28	3	2560	2128	432	1874	8	1866	1127	588	54	0	0	0	97	0	0	0
01053004	BAEK	28	4	582	525	57	460	1	459	305	126	10	0	0	0	18	0	0	0
01053005	BAELAU	28	5	140	129	11	123	0	123	88	30	2	0	0	0	3	0	0	0
01053006	BASEDOW	28	6	250	235	15	204	1	203	117	77	3	0	0	0	6	0	0	0
01053007	BASTHORST	28	7	260	251	9	217	0	217	141	64	3	0	0	0	9	0	0	0
01053008	BEHLENDORF	28	8	263	242	21	210	0	210	142	54	1	0	0	0	13	0	0	0
01053009	BERKENTHIN	28	9	1060	915	145	863	6	857	451	358	13	0	1	0	34	0	0	0
01053010	BESENTHAL	28	10	65	63	2	61	0	61	43	17	1	0	0	0	0	0	0	0
01053011	BLIESTORF	28	11	390	353	37	315	0	315	123	164	6	0	0	0	22	0	0	0
01053012	BOERNSEN	28	12	2367	2175	192	1873	5	1868	838	904	42	0	2	0	82	0	0	0
01053013	BORSTORF	28	13	198	190	8	178	0	178	107	60	1	0	2	0	8	0	0	0
01053014	BREITENFELDE	28	14	1212	1109	103	991	5	986	503	432	18	0	1	0	32	0	0	0
01053015	BROETHEN	28	15	173	167	6	149	0	149	76	64	3	0	0	0	6	0	0	0
01053016	BRUNSMARK	28	16	69	66	3	64	0	64	32	31	0	0	0	0	1	0	0	0
01053017	BRUNSTORF	28	17	393	380	13	312	0	312	193	99	6	0	1	0	13	0	0	0
01053018	BUCHHOLZ	28	18	152	135	17	125	0	125	69	36	9	0	0	0	11	0	0	0
01053019	BUCHHORST	28	19	148	143	5	132	1	131	71	56	1	0	0	0	3	0	0	0
01053020	BUECHEN	28	20	3483	3254	229	2752	8	2744	1356	1272	49	0	3	0	64	0	0	0
01053021	DAHMKER	28	21	58	56	2	56	1	55	41	10	2	0	0	0	2	0	0	0
01053022	DALLDORF	28	22	194	185	9	165	0	165	91	62	4	0	0	0	8	0	0	0
01053023	DASSENDORF	28	23	1868	1709	159	1485	11	1474	806	551	45	0	5	0	67	0	0	0
01053024	DUECHELSDORF	28	24	109	97	12	93	0	93	44	42	3	0	2	0	2	0	0	0
01053025	DUVENSEE	28	25	337	315	22	264	2	262	154	92	9	0	0	0	7	0	0	0
01053026	EINHAUS	30	1	237	231	6	203	0	203	108	75	12	0	1	0	7	0	0	0
01053027	ELMENHORST	30	2	444	420	24	364	0	364	212	138	4	0	0	0	10	0	0	0
01053028	ESCHEBURG	30	3	1021	944	77	835	5	830	409	340	26	0	0	0	55	0	0	0
01053029	FITZEN	30	4	165	159	6	149	0	149	81	60	0	0	0	0	8	0	0	0
01053030	FREDEBURG	30	5	39	38	1	33	0	33	27	5	0	0	0	0	1	0	0	0
01053031	FUHLENHAGEN	30	6	207	193	14	165	0	165	102	54	4	0	0	0	5	0	0	0
01053032	GEESTHACHT, STADT	30	7	18290	17117	1173	14082	31	14051	6182	6976	223	0	23	0	647	0	0	0
01053033	GIESENSDORF	30	8	65	62	3	55	0	55	43	10	1	0	0	0	1	0	0	0
01053034	GOELDENITZ	30	9	125	122	3	113	0	113	62	49	1	0	0	0	1	0	0	0
01053035	GOETTIN	30	10	34	33	1	33	1	32	23	8	0	0	0	0	1	0	0	0
01053036	GRABAU	30	11	179	174	5	149	0	149	105	41	1	0	0	0	2	0	0	0
01053037	GRAMBEK	30	12	263	256	7	227	2	225	129	79	7	0	0	0	10	0	0	0
01053038	GRINAU	30	13	180	162	18	140	0	140	74	59	1	0	0	0	6	0	0	0
01053039	GROSS BODEN	30	14	134	128	6	103	0	103	50	47	2	0	0	0	4	0	0	0
01053040	GROSS DISNACK	30	15	66	66	0	59	0	59	42	13	3	0	0	0	1	0	0	0
01053041	GROSS GROENAU	30	16	2886	2623	263	2302	7	2295	1281	849	87	0	0	0	78	0	0	0
01053042	GROSS PAMPAU	30	17	97	89	8	76	0	76	52	22	1	0	1	0	0	0	0	0
01053043	GROSS SARAU	30	18	535	490	45	442	1	441	239	165	14	0	0	0	23	0	0	0
01053044	GROSS SCHENKENBERG	30	19	291	279	12	239	1	238	125	100	0	0	0	0	13	0	0	0
01053045	GROVE	30	20	162	158	4	149	0	149	88	56	0	0	0	0	5	0	0	0
01053046	GUDOW	30	21	1083	1031	52	893	2	891	521	325	23	0	2	0	20	0	0	0
01053047	GUELZOW	30	22	758	719	39	629	3	626	279	324	9	0	0	0	14	0	0	0
01053048	GUESTER	30	23	431	403	28	367	0	367	191	168	3	0	0	0	5	0	0	0
01053049	HAMFELDE	30	24	296	279	17	246	0	246	133	94	9	0	0	0	10	0	0	0
01053050	HAMWARDE	30	25	478	457	21	428	1	427	221	190	7	0	0	0	9	0	0	0
01053051	HARMSDORF	32	1	204	186	18	166	0	166	92	72	1	0	0	0	1	0	0	0
01053052	HAVEKOST	32	2	100	93	7	81	1	80	66	10	2	0	0	0	2	0	0	0
01053053	HOHENHORN	32	3	300	279	21	250	0	250	158	87	3	0	0	0	2	0	0	0
01053054	HOLLENBEK	32	4	300	274	26	240	1	239	119	113	3	0	0	0	4	0	0	0
01053056	HORNBEK	32	5	127	120	7	102	0	102	58	41	0	0	0	0	3	0	0	0
01053057	HORST	32	6	229	214	15	199	0	199	96	99	0	0	1	0	3	0	0	0
01053058	JULIUSBURG	32	7	105	100	5	88	0	88	69	13	0	0	1	0	5	0	0	0
01053059	KANKELAU	32	8	137	131	6	124	2	122	59	58	2	0	0	0	3	0	0	0
01053060	KASSEBURG	32	9	400	383	17	334	1	333	210	97	6	0	1	0	19	0	0	0
01053061	KASTORF	32	10	559	518	41	419	0	419	237	168	5	0	0	0	9	0	0	0
01053062	KITTLITZ	32	11	196	186	10	165	0	165	97	63	3	0	0	0	2	0	0	0
01053064	KLEIN PAMPAU	32	12	382	353	29	319	5	314	152	146	4	0	3	0	9	0	0	0
01053066	KLEIN ZECHER	32	13	203	185	18	167	1	166	87	66	6	0	0	0	7	0	0	0
01053067	KLEMPAU	32	14	427	406	21	361	1	360	196	148	4	0	1	0	11	0	0	0
01053068	KLINKRADE	32	15	324	311	13	263	0	263	165	88	2	0	0	0	8	0	0	0
01053069	KOBERG	32	16	348	323	25	269	1	268	138	117	5	0	0	0	8	0	0	0
01053070	KOETHEL	32	17	135	124	11	109	0	109	53	48	4	0	0	0	4	0	0	0
01053071	KOLLOW	32	18	365	338	27	291	0	291	161	98	12	0	0	0	20	0	0	0
01053072	KROEPPELSHAGEN-FAHRENDORF	32	19	747	680	67	626	4	622	324	260	7	0	1	0	30	0	0	0
01053073	KRUEZEN	32	20	219	208	11	185	1	184	123	49	3	0	0	0	9	0	0	0
01053074	KRUKOW	32	21	131	124	7	112	0	112	76	24	9	0	2	0	1	0	0	0
01053075	KRUMMESSE	32	22	1244	1192	52	1045	2	1043	524	477	17	0	0	0	25	0	0	0
01053076	KUDDEWOERDE	32	23	797	725	72	647	3	644	374	196	26	0	0	0	48	0	0	0
01053077	KUEHSEN	32	24	232	227	5	198	0	198	90	104	0	0	0	0	4	0	0	0
01053078	KULPIN	32	25	128	122	6	110	0	110	63	27	6	0	0	0	14	0	0	0
01053079	LABENZ	34	1	388	359	29	332	2	330	181	125	7	0	0	0	17	0	0	0
01053080	LANGENLEHSTEN	34	2	89	76	13	58	0	58	34	19	3	0	0	0	2	0	0	0
01053081	LANKAU	34	3	343	316	27	263	0	263	142	95	4	0	1	0	21	0	0	0
01053082	LANZE	34	4	127	123	4	117	0	117	77	34	3	0	1	0	2	0	0	0
01053083	LAUENBURG/ELBE, STADT	34	5	8336	7734	602	6328	18	6310	2898	3141	72	0	11	0	188	0	0	0
01053084	LEHMRADE	34	6	267	244	23	228	0	228	147	72	2	0	0	0	7	0	0	0
01053085	LINAU	34	7	659	625	34	532	2	530	303	188	15	0	2	0	22	0	0	0
01053086	LUECHOW	34	8	130	125	5	102	0	102	63	32	2	0	0	0	5	0	0	0
01053087	LUETAU	34	9	448	425	23	396	0	396	233	151	4	0	0	0	8	0	0	0
01053088	MECHOW	34	10	69	66	3	62	0	62	38	24	0	0	0	0	0	0	0	0
01053089	MOEHNSEN	34	11	334	321	13	276	0	276	180	77	6	0	0	0	13	0	0	0
01053090	MOELLN, STADT	34	12	13094	11976	1118	9921	37	9884	5248	4182	186	0	8	0	260	0	0	0
01053091	MUEHLENRADE	34	13	134	131	3	111	0	111	72	34	2	0	0	0	3	0	0	0
01053092	MUESSEN	34	14	627	589	38	539	1	538	313	203	7	0	2	0	13	0	0	0
01053093	MUSTIN	34	15	446	409	37	353	1	352	207	132	7	0	0	0	6	0	0	0
01053094	NIENDORF BEI BERKENTHIN	34	16	95	89	6	73	0	73	43	26	0	0	0	0	4	0	0	0
01053095	NIENDORF/STECKNITZ	34	17	371	335	36	290	0	290	165	116	4	0	0	0	5	0	0	0
01053096	NUSSE	34	18	677	630	47	552	2	550	272	252	8	0	0	0	18	0	0	0
01053097	PANTEN	34	19	342	325	17	264	0	264	153	101	1	0	0	0	9	0	0	0
01053098	POGEEZ	34	20	272	240	32	211	1	210	135	64	6	0	1	0	4	0	0	0
01053099	POGGENSEE	34	21	188	180	8	154	0	154	81	61	4	0	0	0	8	0	0	0
01053100	RATZEBURG, STADT	34	22	9961	8997	964	7499	27	7472	4227	2766	216	0	6	0	257	0	0	0
01053101	RITZERAU	34	23	172	167	5	138	0	138	64	66	0	0	0	0	8	0	0	0
01053102	ROEMNITZ	34	24	45	39	6	36	0	36	30	4	1	0	0	0	1	0	0	0
01053103	RONDESHAGEN	34	25	474	455	19	398	0	398	178	207	7	0	0	0	6	0	0	0
01053104	ROSEBURG	36	1	317	295	22	272	4	268	138	118	2	0	0	0	10	0	0	0
01053106	SAHMS	36	2	222	215	7	197	0	197	137	55	1	0	1	0	3	0	0	0
01053107	SALEM	36	3	376	337	39	303	0	303	195	97	3	0	0	0	8	0	0	0
01053108	SANDESNEBEN	36	4	722	683	39	595	3	592	326	228	16	0	2	0	20	0	0	0
01053109	SCHIPHORST	36	5	323	313	10	226	0	226	139	70	3	0	0	0	14	0	0	0
01053110	SCHMILAU	36	6	486	447	39	388	4	384	249	118	9	0	2	0	6	0	0	0
01053111	SCHNAKENBEK	36	7	535	510	25	424	4	420	170	225	10	0	0	0	15	0	0	0
01053112	SCHOENBERG	36	8	698	664	34	588	4	584	327	225	8	0	0	0	24	0	0	0
01053113	SCHRETSTAKEN	36	9	313	284	29	248	1	247	135	102	4	0	0	0	6	0	0	0
01053114	SCHUERENSOEHLEN	36	10	115	111	4	101	0	101	57	31	0	0	0	0	13	0	0	0
01053115	SCHULENDORF	36	11	250	233	17	211	0	211	142	59	0	0	0	0	10	0	0	0
01053116	SCHWARZENBEK, STADT	36	12	8315	7662	653	6337	17	6320	3155	2800	144	0	5	0	216	0	0	0
01053117	SEEDORF	36	13	439	405	34	348	2	346	189	144	4	0	0	0	9	0	0	0
01053118	SIEBENBAEUMEN	36	14	387	375	12	321	0	321	159	150	3	0	0	0	9	0	0	0
01053119	SIEBENEICHEN	36	15	189	175	14	157	0	157	77	75	1	0	1	0	3	0	0	0
01053120	SIERKSRADE	36	16	242	219	23	184	1	183	93	77	2	0	0	0	11	0	0	0
01053121	SIRKSFELDE	36	17	168	160	8	138	0	138	71	56	7	0	0	0	4	0	0	0
01053122	STEINHORST	36	18	361	328	33	303	0	303	144	150	1	0	0	0	8	0	0	0
01053123	STERLEY	36	19	657	595	62	525	4	521	282	226	5	0	0	0	8	0	0	0
01053124	STUBBEN	36	20	240	229	11	194	1	193	103	79	3	0	0	0	8	0	0	0
01053125	TALKAU	36	21	297	266	31	246	0	246	149	88	4	0	0	0	5	0	0	0
01053126	TRAMM	36	22	207	194	13	175	1	174	126	44	3	0	0	0	1	0	0	0
01053127	WALKSFELDE	36	23	101	95	6	87	0	87	42	42	0	0	0	0	3	0	0	0
01053128	WANGELAU	36	24	171	160	11	148	0	148	95	42	3	0	0	0	8	0	0	0
01053129	WENTORF BEI HAMBURG	36	25	6726	5849	877	4917	14	4903	2801	1729	154	0	3	0	216	0	0	0
01053130	WENTORF (AMT SANDESNEBEN)	38	1	354	342	12	289	2	287	158	100	13	0	1	0	15	0	0	0
01053131	WIERSHOP	38	2	112	110	2	95	0	95	63	26	1	0	0	0	5	0	0	0
01053132	WITZEEZE	38	3	508	456	52	408	3	405	186	204	4	0	0	0	11	0	0	0
01053133	WOHLTORF	38	4	1977	1662	315	1499	5	1494	827	529	53	0	3	0	82	0	0	0
01053134	WOLTERSDORF	38	5	208	193	15	176	1	175	96	68	3	0	0	0	8	0	0	0
01053135	WORTH	38	6	142	131	11	118	0	118	84	27	3	0	0	0	4	0	0	0
01053136	ZIETHEN	38	7	506	476	30	413	1	412	229	160	11	0	0	0	12	0	0	0
01054001	ACHTRUP	40	1	898	843	55	704	4	700	397	206	6	74	0	0	17	0	0	0
01054002	AHRENSHOEFT	40	2	320	309	11	267	2	265	166	73	2	15	0	0	9	0	0	0
01054003	AHRENVIOEL	40	3	324	307	17	269	1	268	193	59	2	4	0	0	10	0	0	0
01054004	AHRENVIOELFELD	40	4	173	162	11	140	0	140	87	40	1	9	0	0	3	0	0	0
01054005	ALKERSUM	40	5	313	283	30	235	0	235	153	59	5	7	0	0	11	0	0	0
01054006	ALMDORF	40	6	308	290	18	234	1	233	122	97	5	8	0	0	1	0	0	0
01054007	ARLEWATT	40	7	224	212	12	172	0	172	107	58	3	2	0	0	2	0	0	0
01054008	AUGUSTENKOOG	40	8	36	35	1	31	0	31	23	8	0	0	0	0	0	0	0	0
01054009	AVENTOFT	40	9	400	384	16	320	0	320	166	110	3	32	0	0	9	0	0	0
01054010	BARGUM	40	10	470	439	31	377	3	374	245	105	3	12	0	0	9	0	0	0
01054011	BEHRENDORF	40	11	379	367	12	324	1	323	237	74	3	3	0	0	6	0	0	0
01054012	BOHMSTEDT	40	12	490	473	17	396	3	393	242	115	12	6	1	0	16	0	0	1
01054013	BONDELUM	40	13	136	131	5	116	0	116	96	16	0	1	0	0	3	0	0	0
01054014	BORDELUM	40	14	1323	1254	69	1043	2	1041	548	394	33	29	0	0	35	0	0	2
01054015	BORGSUM	40	15	210	191	19	170	1	169	124	21	8	7	0	0	9	0	0	0
01054016	BOSBUELL	40	16	136	132	4	117	0	117	66	43	0	4	0	0	4	0	0	0
01054017	BRADERUP	40	17	464	433	31	360	1	359	184	146	1	18	0	0	10	0	0	0
01054018	BRAMSTEDTLUND	40	18	182	175	7	148	0	148	108	25	1	14	0	0	0	0	0	0
01054019	BREDSTEDT, STADT	40	19	3558	3173	385	2677	6	2671	1204	1187	56	120	2	0	88	0	0	14
01054020	BREKLUM	40	20	1267	1153	114	999	1	998	463	429	35	23	1	0	44	0	0	3
01054022	DAGEBUELL	40	21	883	830	53	651	1	650	316	284	7	21	0	0	22	0	0	0
01054023	DRAGE	40	22	379	352	27	280	1	279	139	109	8	18	0	0	5	0	0	0
01054024	DRELSDORF	40	23	726	694	32	601	3	598	359	184	15	10	3	0	26	0	0	1
